strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
22072_1#139.contigs_velvet	Klebsiella pneumoniae	strong	89	368456	1110604	5830674	yes (819)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	Good	99.75%	KL2_07,KL2_13	O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#140.contigs_velvet	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	107	167518	386465	5796057	yes (253)	ambiguous_bases	ST2824	0	-	0	-	0	-	0	-	0	-	0	-	-	KL55	-*	High	96.36%	KL55_09_wcpH	O3/O3a	O3/O3a	none	Very high	96.11%		ST2824	17	19	28	20	306	21	197	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#141.contigs_velvet	unknown		34	317824	1441312	5679431	yes (206)	ambiguous_bases	NA	0	-	0	-	0	-	0	-	0	-	0	-	-	KL156-D1	?-	None	65.98%	KL156-D1_01_galF,KL156-D1_02_rmlB,KL156-D1_03_rmlD,KL156-D1_04_rmlA,KL156-D1_05_rmlC,KL156-D1_06_wzx,KL156-D1_07,KL156-D1_08_wfgD,KL156-D1_09_wzy,KL156-D1_10,KL156-D1_11_arnC,KL156-D1_12,KL156-D1_13,KL156-D1_14,KL156-D1_15,KL156-D1_16_gnd,KL156-D1_17_ugd	OL102	OL102	?-	None	67.36%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#142.contigs_velvet	Klebsiella pneumoniae	strong	72	240942	448224	5661348	yes (314)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#143.contigs_velvet	Klebsiella pneumoniae	strong	70	319318	833549	5787680	yes (1363)	ambiguous_bases	ST268	5	ybt 17; ICEKp10	234-3LV	clb 3	13-1LV	iuc 1	1-1LV	iro 1	1	rmp 1; KpVP-1 (incomplete)	26-1LV	rmpA2_8*	-	KL20	none	Very high	99.95%		O2v1	O2	none	Very high	98.95%		ST268	2	1	2	1	7	1	81	6	15	25	4	11	28*	200*	16*	14	4	2	2	10	2	2	2	2	2*	3	2	2	2	2	2	2	2	1	1	1*	1	1	1	1	1	1	-	2	2	clbK_11*-60%;rmpA_36*-0%;rmpA_15*-45%
22072_1#144.contigs_velvet	Klebsiella pneumoniae	strong	148	267599	576445	6074687	yes (828)	ambiguous_bases	ST70	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi50	KL15	none	Very high	99.98%		O4	O4	none	Very high	99.67%		ST70	2	6	17	1	20	10	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
22072_1#145.contigs_velvet	Klebsiella pneumoniae	strong	131	363507	703441	5571261	yes (430)	ambiguous_bases	ST4	1	ybt 10; ICEKp4	26-1LV	-	0	-	0	-	0	-	0	-	wzi62	KL62	?-	Good	99.71%	KL62_12	O1v1	O1	none	Very high	97.86%		ST4	3	1	1	1	3	3	1	16	12	4	3	3	35	50	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#146.contigs_velvet	Klebsiella pneumoniae	strong	54	425060	1375593	5716009	yes (1394)	ambiguous_bases	ST348	1	ybt 14; ICEKp5	132-6LV	-	0	-	0	-	0	-	0	-	wzi94	KL62	none	Very high	99.94%		O1v1	O1	none	Very high	98.86%		ST348	2	1	20	1	12	15	16	4	4	5*	120	1*	263*-69%	273*	2	4	4	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#147.contigs_velvet	Klebsiella pneumoniae	strong	163	103312	261960	5793907	yes (8800)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	None	99.71%	KL2_06_wzc,KL2_07,KL2_08,KL2_09,KL2_10,KL2_11_wzx,KL2_12,KL2_13,KL2_14_wcaJ	O1/O2v1	unknown	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#148.contigs_velvet	Klebsiella pneumoniae	strong	86	472178	736290	5545132	yes (1025)	ambiguous_bases	ST101	0	-	0	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	99.99%		O1v1	O1	none	Very high	98.02%		ST101	2	6	1	5	4	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#149.contigs_velvet	Klebsiella pneumoniae	strong	161	135773	432104	5640863	yes (3055)	ambiguous_bases	ST1552	1	ybt 10; ICEKp4	95-2LV	-	0	-	0	-	0	-	0	-	wzi119	KL25	?-	None	97.96%	KL25_07_wcaJ,KL25_08_wzy,KL25_09_wfeD,KL25_10,KL25_11_wcuB,KL25_12_wzx	O1/O2v1	unknown	none	Very high	97.64%		ST1552	2	1	2	1	3	25	2	3	12	4*	66	3	137	139	3	10	60	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#150.contigs_velvet	Klebsiella pneumoniae	strong	87	193420	700883	5809329	yes (2690)	ambiguous_bases	ST25	1	ybt 14; ICEKp5	135-6LV	-	0	-	0	-	0	-	0	-	wzi72	KL2	none	Very high	98.41%		O2v2	O2	none	Very high	99.19%		ST25	2	1	1	1	10	4	13	6	4	21	4*	1	131*	147*	2	12*	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#151.contigs_velvet	Klebsiella pneumoniae	strong	49	367130	845112	5644992	yes (894)	ambiguous_bases	ST268	5	ybt 17; ICEKp10	234-3LV	clb 3	13-1LV	iuc 1	1-1LV	iro 1	1	rmp 1; KpVP-1	26-1LV	rmpA2_2*-47%	wzi95	KL20	none	Very high	99.95%		O2v1	O2	none	Very high	98.97%		ST268	2	1	2	1	7	1	81	6	15	25	4	11	28*	200*	16*	14	4	2	2	10	2	2	2	2	2*	3	2	2	2	2	2	2	2	1	1	1*	1	1	1	1	1	1	22	2	2	clbJ_19*-73%;clbK_11*-60%;clbK_13*-0%
22072_1#152.contigs_velvet	Klebsiella pneumoniae	strong	1201	11523	64672	5738346	yes (186890)	ambiguous_bases	ST391-2LV	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi554	KL5	?-*	None	88.87%	KL5_05_wzb,KL5_06_wzc,KL5_07,KL5_08_wzx,KL5_09,KL5_10,KL5_11,KL5_12,KL5_13,KL5_14,KL5_15_wcaJ	O2v1	O2	?-	None	95.62%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST391-2LV	-	5	1	4	6	4	21*	38*-0%	4	21*-64%	-	1	-	-	2	12*	44*	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp1_100*-0%;irp1_164*-0%;irp2_155*-0%;ybtP_120*-0%
22072_1#153.contigs_velvet	Klebsiella pneumoniae	strong	35	379438	983062	5422220	yes (564)	ambiguous_bases	ST307	1	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.27%		O2v2	O2	none	Very high	98.45%		ST307	4	1	2	52	1	1	7	5	11	6	5	1	25	37	9*	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#154.contigs_velvet	Klebsiella pneumoniae	strong	46	579519	1488959	5429552	yes (33)	ambiguous_bases	ST307	1	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.27%		O2v2	O2	none	Very high	98.45%		ST307	4	1	2	52	1	1	7	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#155.contigs_velvet	Klebsiella pneumoniae	strong	75	216941	717012	5608748	yes (109)	ambiguous_bases	ST54	0	-	0	-	0	-	0	-	0	-	0	-	wzi14	KL14	none	Very high	99.97%		O3b	O3b	none	Very high	99.16%		ST54	2	1	1	13	16	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#156.contigs_velvet	Klebsiella pneumoniae	strong	463	30489	102344	5714706	yes (17263)	ambiguous_bases	ST14-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	None	99.72%	KL2_05_wzb,KL2_06_wzc,KL2_07,KL2_08,KL2_09,KL2_10,KL2_11_wzx,KL2_12,KL2_13,KL2_14_wcaJ	O2v1	O2	?-	None	99.99%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST14-1LV	1	6	1	1	1	1	1*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#157.contigs_velvet	Klebsiella pneumoniae	strong	31	462773	1315848	5424278	yes (2)	ambiguous_bases	ST307	1	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.27%		O2v2	O2	none	Very high	98.45%		ST307	4	1	2	52	1	1	7	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#158.contigs_velvet	Escherichia coli / Shigella	strong	57	370810	806626	5275253	yes (103)	ambiguous_bases	NA	5	ybt unknown	0	clb 3	13-5LV	iuc unknown	0	iro unknown	0	-	0	-	-	KL156-D1	?-	None	91.04%	KL156-D1_05_rmlC,KL156-D1_06_wzx,KL156-D1_07,KL156-D1_08_wfgD,KL156-D1_09_wzy,KL156-D1_10,KL156-D1_11_arnC,KL156-D1_12,KL156-D1_13,KL156-D1_14,KL156-D1_15	OL102	OL102	?-	None	72.34%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	NA	-	-	-	-	-	-	-	26*	26*	42*	51*	1*	154*	21*	9*	1*	5*	137*	2	10*	2	2	2	2	2*	3*	5	2	2	2	2	3	2	45*	12*	33*	35*	61*-0%	23*	48*	18*	19*	-	-	-	clbJ_16*-73%
22072_1#159.contigs_velvet	Klebsiella oxytoca	strong	35	388357	1496013	5758987	yes (598)	ambiguous_bases	NA	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	KL68	?+*	Low	85.79%		O5	O5	*	High	81.65%		NA	-	-	-	-	-	-	-	2*	25*	64*	71*	42*	161*	223*	39*	14*-0%	37*-0%	84*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#160.contigs_velvet	Klebsiella pneumoniae	strong	62	190586	470421	5306868	yes (115)	ambiguous_bases	ST297	0	-	0	-	0	-	0	-	0	-	0	-	wzi475	KL158	none	Very high	99.70%		O1v1	O1	none	Very high	98.49%		ST297	31	1	1	37	3	27	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#161.contigs_velvet	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	110	192174	420470	5858259	yes (5)	ambiguous_bases	ST2144	0	-	0	-	0	-	0	-	0	-	0	-	wzi328	KL64	?+*	Good	96.89%		O12	O12	?	Good	99.20%		ST2144	18	109	26	63	254	38	359	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#162.contigs_velvet	Klebsiella pneumoniae	strong	62	269362	517971	5441821	yes (166)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#163.contigs_velvet	Klebsiella pneumoniae	strong	162	385800	649521	5645993	yes (2326)	ambiguous_bases	ST268	1	ybt 10; ICEKp4	120-6LV	-	0	-	0	-	0	-	0	-	wzi95	KL20	none	Very high	99.95%		O2v1	O2	none	Very high	98.97%		ST268	2	1	2	1	7	1	81	32	12	39*	39	25	91*	202*	56*	25	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#164.contigs_velvet	Klebsiella pneumoniae	strong	63	458742	1423580	5535607	yes (173)	ambiguous_bases	ST874	0	-	0	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	O1	none	Very high	99.48%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#165.contigs_velvet	Klebsiella pneumoniae	strong	45	309756	691434	5557032	yes (58)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi16	KL16	none	Very high	99.41%		O1v1	O1	none	Very high	98.54%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#166.contigs_velvet	Klebsiella pneumoniae	strong	98	249464	716205	5741622	yes (975)	ambiguous_bases	ST372	0	-	0	-	0	-	0	-	0	-	0	-	wzi43	KL43	none	Very high	99.78%		O2v1	O2	none	Very high	98.76%		ST372	2	1	2	1	1	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#167.contigs_velvet	Klebsiella pneumoniae	strong	47	453552	1285136	5548176	yes (745)	ambiguous_bases	ST372	0	-	0	-	0	-	0	-	0	-	0	-	wzi43	KL43	none	Very high	99.78%		O2v1	O2	none	Very high	98.75%		ST372	2	1	2	1	1	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#168.contigs_velvet	Klebsiella pneumoniae	strong	93	368129	742963	5580984	yes (377)	ambiguous_bases	ST36	1	ybt 14; ICEKp5	151	-	0	-	0	-	0	-	0	-	wzi299	KL51	none	Very high	99.13%		O2v1	O2	none	Very high	98.83%		ST36	2	1	2	1	7	1	7	4	4	5	4	1	69	62	2	4	4	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#169.contigs_velvet	Klebsiella pneumoniae	strong	52	356389	678719	5484464	yes (22)	ambiguous_bases	ST499-1LV	0	-	0	-	0	-	0	-	0	-	0	-	-	KL70	-+*	None	78.71%	KL70_05_wzb,KL70_06_wzc,KL70_07_wbaP,KL70_08_wcuF,KL70_09_wcmY,KL70_10_wzy,KL70_11_wclR,KL70_12_wcuT,KL70_13_wzx,KL70_14_wcuN,KL70_15_wcuC	OL102	OL102	?-+*	None	83.13%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST499-1LV	2	9	5	2	7	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#170.contigs_velvet	unknown		42	233282	573884	2966313	yes (255)	ambiguous_bases	NA	0	-	0	-	0	-	0	-	0	-	0	-	-	KL135	?-	None	66.72%	KL135_01_galF,KL135_02_cpsACP,KL135_03_wzi,KL135_04_wza,KL135_05_wzb,KL135_06_wzc,KL135_07_wbaP,KL135_08_wcaA,KL135_09,KL135_10_wcuD,KL135_11,KL135_12_wcuT,KL135_13_wzy,KL135_14_wzx,KL135_15_gnd,KL135_16_manC,KL135_17_manB,KL135_18_rmlB,KL135_19_rmlA,KL135_20_rmlD,KL135_21_rmlC,KL135_22_ugd	OL102	OL102	-	None	68.42%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#237.contigs_velvet	Klebsiella pneumoniae	strong	49	786218	1495727	5563362	yes (34)	ambiguous_bases	ST17	0	-	0	-	0	-	0	-	0	-	0	-	wzi368	KL134	none	Very high	99.93%		O3b	O3b	none	Very high	99.16%		ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#238.contigs_velvet	Klebsiella pneumoniae	strong	1179	15957	91658	5995371	yes (330123)	ambiguous_bases	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi141	KL25	?-+*	None	98.50%	KL25_01_galF,KL25_09_wfeD,KL25_10,KL25_14_ugd	O5	O5	?-*	None	94.19%	O5_01_manC,O5_05_wbdD,O5_07_wbdB,O5_08_wbdC	0	2	145*	1	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#239.contigs_velvet	Klebsiella pneumoniae	strong	66	270616	449915	5488209	yes (417)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#240.contigs_velvet	Klebsiella pneumoniae	strong	62	298835	463704	5444311	yes (299)	ambiguous_bases	ST152	1	ybt 10; ICEKp4	325-1LV	-	0	-	0	-	0	-	0	-	wzi110	KL149	none	Very high	99.98%		O4	O4	none	Very high	99.71%		ST152	2	3	2	1	1	4	56	88	12	4	121	21	272	280	3	72	9*	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#241.contigs_velvet	Klebsiella pneumoniae	strong	78	200481	378894	5600484	yes (10)	ambiguous_bases	ST218	3	-	0	-	0	iuc 1	1-1LV	iro 1	1-1LV	rmp 1; KpVP-1	26	rmpA2_8*-60%	wzi77	KL57	-	High	98.78%	KL57_06_wzc	O2v2	O2	none	Very high	98.67%		ST218	2	3	1	1	9	4	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1*	1	1	24	1	1	2	2	2	-
22072_1#242.contigs_velvet	Escherichia coli / Shigella	strong	92	138911	349633	5296966	yes (70)	ambiguous_bases	NA	4	ybt 10; ICEKp4	78	-	0	iuc unknown	0	-	0	-	0	-	-	KL156-D1	?-*	None	89.81%	KL156-D1_05_rmlC,KL156-D1_06_wzx,KL156-D1_07,KL156-D1_08_wfgD,KL156-D1_09_wzy,KL156-D1_10,KL156-D1_11_arnC,KL156-D1_12,KL156-D1_13,KL156-D1_14,KL156-D1_15	OL102	OL102	?-	None	73.19%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	NA	-	-	-	-	-	-	-	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45*	12*	33*	35*	61*-0%	-	-	-	-	-	-	-	-
22072_1#243.contigs_velvet	Klebsiella pneumoniae	strong	207	79019	247923	5795712	yes (6261)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	None	99.74%	KL2_06_wzc,KL2_07,KL2_08,KL2_09,KL2_10,KL2_11_wzx,KL2_12,KL2_13	O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#244.contigs_velvet	unknown		45	171121	465360	3784280	no	-	NA	0	-	0	-	0	-	0	-	0	-	0	-	-	KL156-D1	?-	None	66.18%	KL156-D1_01_galF,KL156-D1_02_rmlB,KL156-D1_03_rmlD,KL156-D1_04_rmlA,KL156-D1_05_rmlC,KL156-D1_06_wzx,KL156-D1_07,KL156-D1_08_wfgD,KL156-D1_09_wzy,KL156-D1_10,KL156-D1_11_arnC,KL156-D1_12,KL156-D1_13,KL156-D1_14,KL156-D1_15,KL156-D1_16_gnd,KL156-D1_17_ugd	OL102	OL102	?-	None	67.73%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#245.contigs_velvet	Klebsiella michiganensis	strong	49	432986	1103973	6082389	yes (310)	ambiguous_bases	NA	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	KL145	none	Very high	99.98%		O1v1	O1	?-+*	Good	72.17%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	NA	-	-	-	-	-	-	-	2*	21*	64*	49*	1*	221*	223*	57*	47*	2*	137*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#246.contigs_velvet	Klebsiella variicola subsp. variicola	strong	21	1090274	1777349	5594687	yes (28)	ambiguous_bases	ST4151-1LV	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi53	KL53	none	Very high	99.66%		O3/O3a	O3/O3a	?+	Good	99.32%		ST4151-1LV	16	18	21	32	92	22	67	21*	21	47*	52*	1*	86*	79*	17	1	5	29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#247.contigs_velvet	Klebsiella pneumoniae	strong	91	290462	586402	5574263	yes (2703)	ambiguous_bases	ST1799	0	-	0	-	0	-	0	-	0	-	0	-	-	KL16	none	Very high	99.42%		O1v1	O1	none	Very high	98.10%		ST1799	2	1	1	1	3	1	34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#248.contigs_velvet	Klebsiella pneumoniae	strong	42	442992	901538	5302464	yes (38)	ambiguous_bases	ST499-1LV	0	-	0	-	0	-	0	-	0	-	0	-	-	KL70	-+*	None	78.71%	KL70_05_wzb,KL70_06_wzc,KL70_07_wbaP,KL70_08_wcuF,KL70_09_wcmY,KL70_10_wzy,KL70_11_wclR,KL70_12_wcuT,KL70_13_wzx,KL70_14_wcuN,KL70_15_wcuC	OL102	OL102	?-+*	None	83.13%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST499-1LV	2	9	5	2	7	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#249.contigs_velvet	Klebsiella pneumoniae	strong	43	407554	1047938	5450991	yes (24)	ambiguous_bases	ST111	0	-	0	-	0	-	0	-	0	-	0	-	wzi73	KL104	?-	Good	99.73%	KL104_07	O1v2	O1	none	Very high	99.29%		ST111	2	1	5	1	17	4	42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#250.contigs_velvet	Klebsiella variicola subsp. variicola	strong	25	643993	1392820	5503898	yes (124)	ambiguous_bases	ST4314-3LV	0	-	0	-	0	-	0	-	0	-	0	-	-	KL165	none	Very high	99.55%		O5	O5	none	Very high	99.49%		ST4314-3LV	28	24	36	195	153	33	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#94.contigs_velvet	Klebsiella pneumoniae	strong	65	516532	964356	5836292	yes (68)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	Good	99.75%	KL2_13	O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#95.contigs_velvet	Klebsiella pneumoniae	strong	45	500811	1337226	5649133	yes (338)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	Good	99.75%	KL2_13	O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
